Eureka, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194112,12.88,4.81
194201,4.07,-2.60
194202,6.22,0.58
194203,1.77,-3.98
194204,4.05,0.41
194205,5.43,3.77
194206,0.57,-0.13
194207,0.07,-0.11
194208,0.07,-0.11
194209,0.06,-0.62
194210,1.22,-1.09
194211,8.60,3.71
194212,8.52,0.45
194301,5.23,-1.44
194302,3.51,-2.13
194303,5.83,0.08
194304,3.23,-0.41
194305,4.26,2.60
194306,0.48,-0.22
194307,0.05,-0.13
194308,0.21,0.03
194309,0.01,-0.67
194310,4.61,2.30
194311,3.59,-1.30
194312,1.67,-6.40
194401,2.92,-3.75
194402,3.62,-2.02
194403,2.26,-3.49
194404,4.25,0.61
194405,3.49,1.83
194406,1.20,0.50
194407,0.11,-0.07
194408,0.19,0.01
194409,0.20,-0.48
194410,2.79,0.48
194411,9.11,4.22
194412,5.93,-2.14
194501,3.65,-3.02
194502,9.56,3.92
194503,6.02,0.27
194504,2.28,-1.36
194505,3.44,1.78
194506,0.00,-0.70
194507,0.00,-0.18
194508,0.10,-0.08
194509,1.09,0.41
194510,3.38,1.07
194511,9.48,4.59
194512,9.93,1.86
194601,4.32,-2.35
194602,5.09,-0.55
194603,4.68,-1.07
194604,0.43,-3.21
194605,1.26,-0.40
194606,0.30,-0.40
194607,0.13,-0.05
194608,0.01,-0.17
194609,0.32,-0.36
194610,2.26,-0.05
194611,4.36,-0.53
194612,1.56,-6.51
194701,3.94,-2.73
194702,1.33,-4.31
194703,3.91,-1.84
194704,1.85,-1.79
194705,0.17,-1.49
194706,1.58,0.88
194707,1.20,1.02
194708,0.10,-0.08
194709,0.59,-0.09
194710,6.50,4.19
194711,1.72,-3.17
194712,3.10,-4.97
194801,8.24,1.57
194802,5.20,-0.44
194803,6.16,0.41
194804,6.54,2.90
194805,2.17,0.51
194806,0.77,0.07
194807,0.25,0.07
194808,0.13,-0.05
194809,1.71,1.03
194810,3.33,1.02
194811,3.19,-1.70
194812,7.36,-0.71
194901,1.63,-5.04
194902,6.09,0.45
194903,6.94,1.19
194904,0.41,-3.23
194905,2.56,0.90
194906,0.06,-0.64
194907,0.16,-0.02
194908,0.02,-0.16
194909,0.50,-0.18
194910,2.03,-0.28
194911,3.23,-1.66
194912,4.48,-3.59
195001,13.80,7.13
195002,4.61,-1.03
195003,7.71,1.96
195004,1.94,-1.70
195005,1.30,-0.36
195006,1.04,0.34
195007,0.06,-0.12
195008,0.07,-0.11
195009,0.35,-0.33
195010,13.04,10.73
195011,3.43,-1.46
195012,5.99,-2.08
195101,8.46,1.79
195102,7.56,1.92
195103,3.94,-1.81
195104,2.06,-1.58
195105,1.39,-0.27
195106,0.00,-0.70
195107,0.06,-0.12
195108,0.02,-0.16
195109,0.79,0.11
195110,3.87,1.56
195111,7.80,2.91
195112,9.10,1.03
195201,10.67,4.00
195202,6.22,0.58
195203,3.78,-1.97
195204,1.34,-2.30
195205,1.77,0.11
195206,1.98,1.28
195207,0.00,-0.18
195208,0.01,-0.17
195209,0.74,0.06
195210,0.62,-1.69
195211,2.13,-2.76
195212,11.87,3.80
195301,12.63,5.96
195302,3.44,-2.20
195303,5.95,0.20
195304,3.18,-0.46
195305,5.83,4.17
195306,1.24,0.54
195307,0.00,-0.18
195308,0.42,0.24
195309,0.61,-0.07
195310,3.84,1.53
195311,9.57,4.68
195312,3.63,-4.44
195401,11.78,5.11
195402,3.29,-2.35
195403,3.76,-1.99
195404,2.78,-0.86
195405,0.16,-1.50
195406,2.57,1.87
