Eureka, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194112,48.5,1.4
194201,49.3,1.6
194202,46.5,-1.6
194203,47.7,-1.3
194204,50.7,0.2
194205,52.5,-1.0
194206,55.6,-0.1
194207,59.3,1.9
194208,56.8,-1.5
194209,54.8,-2.1
194210,53.1,-0.9
194211,51.0,0.8
194212,48.9,1.8
194301,45.9,-1.8
194302,50.4,2.3
194303,50.1,1.1
194304,51.1,0.6
194305,51.1,-2.4
194306,54.0,-1.7
194307,56.3,-1.1
194308,56.6,-1.7
194309,57.0,0.1
194310,54.2,0.2
194311,52.2,2.0
194312,48.5,1.4
194401,48.8,1.1
194402,45.7,-2.4
194403,46.9,-2.1
194404,49.0,-1.5
194405,51.2,-2.3
194406,54.1,-1.6
194407,54.7,-2.7
194408,56.2,-2.1
194409,53.9,-3.0
194410,54.6,0.6
194411,51.0,0.8
194412,49.6,2.5
194501,47.8,0.1
194502,47.9,-0.2
194503,46.4,-2.6
194504,47.1,-3.4
194505,52.7,-0.8
194506,54.7,-1.0
194507,55.8,-1.6
194508,54.8,-3.5
194509,54.3,-2.6
194510,52.6,-1.4
194511,50.3,0.1
194512,49.4,2.3
194601,45.7,-2.0
194602,45.9,-2.2
194603,46.5,-2.5
194604,49.3,-1.2
194605,51.6,-1.9
194606,56.1,0.4
194607,57.5,0.1
194608,55.1,-3.2
194609,55.8,-1.1
194610,51.3,-2.7
194611,48.8,-1.4
194612,47.9,0.8
194701,43.9,-3.8
194702,49.7,1.6
194703,50.0,1.0
194704,51.6,1.1
194705,53.2,-0.3
194706,55.8,0.1
194707,59.4,2.0
194708,57.5,-0.8
194709,56.9,0.0
194710,56.4,2.4
194711,48.3,-1.9
194712,47.5,0.4
194801,46.7,-1.0
194802,44.6,-3.5
194803,46.0,-3.0
194804,47.9,-2.6
194805,51.4,-2.1
194806,55.2,-0.5
194807,55.7,-1.7
194808,57.3,-1.0
194809,54.4,-2.5
194810,52.8,-1.2
194811,47.0,-3.2
194812,43.3,-3.8
194901,39.6,-8.1
194902,44.9,-3.2
194903,49.1,0.1
194904,49.9,-0.6
194905,52.9,-0.6
194906,53.3,-2.4
194907,54.1,-3.3
194908,58.0,-0.3
194909,55.8,-1.1
194910,50.0,-4.0
194911,53.7,3.5
194912,44.9,-2.2
195001,42.6,-5.1
195002,47.0,-1.1
195003,47.3,-1.7
195004,48.4,-2.1
195005,48.9,-4.6
195006,53.5,-2.2
195007,54.6,-2.8
195008,56.6,-1.7
195009,54.7,-2.2
195010,56.3,2.3
195011,53.9,3.7
195012,52.9,5.8
195101,46.2,-1.5
195102,47.8,-0.3
195103,44.9,-4.1
195104,48.3,-2.2
195105,52.1,-1.4
195106,52.4,-3.3
195107,55.0,-2.4
195108,54.7,-3.6
195109,54.3,-2.6
195110,54.2,0.2
195111,51.2,1.0
195112,45.8,-1.3
195201,44.3,-3.4
195202,46.4,-1.7
195203,44.5,-4.5
195204,48.8,-1.7
195205,51.9,-1.6
195206,53.0,-2.7
195207,54.5,-2.9
195208,55.1,-3.2
195209,54.9,-2.0
195210,53.6,-0.4
195211,48.7,-1.5
195212,47.5,0.4
195301,50.3,2.6
195302,46.4,-1.7
195303,46.4,-2.6
195304,48.1,-2.4
195305,51.3,-2.2
195306,53.3,-2.4
195307,54.3,-3.1
195308,58.0,-0.3
195309,57.5,0.6
195310,53.7,-0.3
195311,52.8,2.6
195312,47.4,0.3
195401,46.3,-1.4
195402,47.6,-0.5
195403,46.4,-2.6
195404,49.6,-0.9
195405,50.7,-2.8
195406,53.8,-1.9
195407,54.8,-2.6
195408,56.0,-2.3
195409,56.8,-0.1
195410,53.2,-0.8
195411,52.7,2.5
195412,47.4,0.3
195501,43.4,-4.3
195502,43.8,-4.3
195503,45.0,-4.0
195504,46.2,-4.3
195505,49.4,-4.1
195506,52.2,-3.5
195507,54.7,-2.7
195508,52.6,-5.7
195509,54.0,-2.9
195510,51.5,-2.5
195511,49.0,-1.2
195512,49.4,2.3
195601,48.4,0.7
195602,44.2,-3.9
195603,46.6,-2.4
195604,48.8,-1.7
195605,52.5,-1.0
195606,54.3,-1.4
195607,55.0,-2.4
195608,56.1,-2.2
195609,55.7,-1.2
195610,52.7,-1.3
195611,47.7,-2.5
195612,45.4,-1.7
195701,42.5,-5.2
195702,48.2,0.1
195703,49.1,0.1
195704,49.8,-0.7
195705,54.0,0.5
195706,56.5,0.8
195707,55.9,-1.5
195708,57.6,-0.7
195709,58.5,1.6
195710,55.4,1.4
195711,50.7,0.5
195712,49.0,1.9
195801,50.4,2.7
195802,53.1,5.0
195803,47.0,-2.0
195804,50.6,0.1
195805,54.4,0.9
195806,58.6,2.9
195807,56.7,-0.7
195808,56.9,-1.4
195809,58.4,1.5
195810,53.7,-0.3
195811,51.6,1.4
195812,51.6,4.5
195901,49.3,1.6
195902,46.6,-1.5
195903,48.6,-0.4
195904,49.8,-0.7
195905,51.5,-2.0
195906,55.3,-0.4
195907,55.2,-2.2
195908,55.4,-2.9
195909,57.0,0.1
195910,54.9,0.9
195911,49.7,-0.5
195912,46.8,-0.3
196001,47.7,0.0
196002,47.7,-0.4
196003,49.7,0.7
196004,50.1,-0.4
196005,52.6,-0.9
196006,53.7,-2.0
196007,53.6,-3.8
196008,54.6,-3.7
196009,52.8,-4.1
196010,53.8,-0.2
196011,50.3,0.1
196012,48.0,0.9
196101,49.8,2.1
196102,49.4,1.3
196103,49.0,0.0
196104,48.5,-2.0
196105,51.8,-1.7
196106,55.7,0.0
196107,56.0,-1.4
196108,56.4,-1.9
196109,54.6,-2.3
196110,51.8,-2.2
196111,48.8,-1.4
196112,45.7,-1.4
196201,44.5,-3.2
196202,46.9,-1.2
196203,47.4,-1.6
196204,49.7,-0.8
196205,51.5,-2.0
196206,52.4,-3.3
196207,53.0,-4.4
196208,57.0,-1.3
196209,56.4,-0.5
196210,53.9,-0.1
196211,51.6,1.4
196212,48.9,1.8
196301,45.2,-2.5
196302,54.5,6.4
196303,48.4,-0.6
196304,49.4,-1.1
196305,53.1,-0.4
196306,53.7,-2.0
196307,56.4,-1.0
196308,56.4,-1.9
196309,58.6,1.7
196310,56.2,2.2
196311,51.8,1.6
196312,49.4,2.3
196401,45.9,-1.8
196402,46.3,-1.8
196403,44.9,-4.1
196404,46.4,-4.1
196405,49.6,-3.9
196406,54.0,-1.7
196407,55.8,-1.6
196408,56.2,-2.1
196409,54.5,-2.4
196410,54.2,0.2
196411,49.2,-1.0
196412,47.8,0.7
196501,46.5,-1.2
196502,45.0,-3.1
196503,47.8,-1.2
196504,49.3,-1.2
196505,49.1,-4.4
196506,51.2,-4.5
196507,54.0,-3.4
196508,58.1,-0.2
196509,53.2,-3.7
196510,55.0,1.0
196511,53.9,3.7
196512,46.2,-0.9
196601,47.0,-0.7
196602,45.8,-2.3
196603,47.3,-1.7
196604,49.6,-0.9
196605,49.7,-3.8
196606,54.7,-1.0
196607,55.9,-1.5
196608,55.2,-3.1
196609,57.2,0.3
196610,52.5,-1.5
196611,51.8,1.6
196612,48.8,1.7
196701,46.6,-1.1
196702,46.8,-1.3
196703,46.0,-3.0
196704,45.4,-5.1
196705,51.1,-2.4
196706,53.8,-1.9
196707,55.7,-1.7
196708,56.0,-2.3
196709,58.4,1.5
196710,56.2,2.2
196711,52.6,2.4
196712,44.3,-2.8
196801,45.9,-1.8
196802,52.4,4.3
196803,49.8,0.8
196804,47.4,-3.1
196805,51.6,-1.9
196806,54.7,-1.0
196807,55.6,-1.8
196808,58.6,0.3
196809,56.7,-0.2
196810,52.6,-1.4
196811,51.1,0.9
196812,45.8,-1.3
196901,43.3,-4.4
196902,45.4,-2.7
196903,47.6,-1.4
196904,49.0,-1.5
196905,52.7,-0.8
196906,55.8,0.1
196907,54.9,-2.5
196908,55.0,-3.3
196909,55.8,-1.1
196910,54.5,0.5
196911,50.6,0.4
196912,50.5,3.4
197001,51.3,3.6
197002,50.6,2.5
197003,49.1,0.1
197004,46.7,-3.8
197005,51.5,-2.0
197006,53.5,-2.2
197007,54.1,-3.3
197008,54.6,-3.7
197009,54.9,-2.0
197010,51.8,-2.2
197011,52.8,2.6
197012,46.7,-0.4
197101,45.0,-2.7
197102,45.5,-2.6
197103,46.4,-2.6
197104,47.3,-3.2
197105,49.9,-3.6
197106,53.5,-2.2
197107,54.4,-3.0
197108,59.2,0.9
197109,55.9,-1.0
197110,49.9,-4.1
197111,48.6,-1.6
197112,44.2,-2.9
197201,43.8,-3.9
197202,48.3,0.2
197203,50.4,1.4
197204,48.3,-2.2
197205,50.4,-3.1
197206,53.9,-1.8
197207,57.0,-0.4
197208,57.5,-0.8
197209,55.0,-1.9
197210,53.4,-0.6
197211,51.1,0.9
197212,45.0,-2.1
197301,46.5,-1.2
197302,49.9,1.8
197303,46.7,-2.3
197304,49.4,-1.1
197305,51.3,-2.2
197306,54.3,-1.4
197307,54.8,-2.6
197308,54.1,-4.2
197309,56.4,-0.5
197310,51.3,-2.7
197311,50.7,0.5
197312,50.5,3.4
197401,46.0,-1.7
197402,45.3,-2.8
197403,49.3,0.3
197404,48.9,-1.6
197405,50.3,-3.2
197406,53.3,-2.4
197407,56.9,-0.5
197408,56.9,-1.4
197409,54.9,-2.0
197410,52.4,-1.6
197411,50.4,0.2
197412,47.9,0.8
197501,45.0,-2.7
197502,47.3,-0.8
197503,46.8,-2.2
197504,45.8,-4.7
197505,50.6,-2.9
197506,52.4,-3.3
197507,56.2,-1.2
197508,54.6,-3.7
197509,54.5,-2.4
197510,53.4,-0.6
197511,47.8,-2.4
197512,46.6,-0.5
197601,45.7,-2.0
197602,46.2,-1.9
197603,44.9,-4.1
197604,47.7,-2.8
197605,50.3,-3.2
197606,52.0,-3.7
197607,56.7,-0.7
197608,57.1,-1.2
197609,55.4,-1.5
197610,53.6,-0.4
197611,51.4,1.2
197612,46.7,-0.4
197701,46.7,-1.0
197702,49.7,1.6
197703,45.4,-3.6
197704,48.5,-2.0
197705,50.7,-2.8
197706,53.4,-2.3
197707,54.3,-3.1
197708,57.6,-0.7
197709,55.5,-1.4
197710,53.0,-1.0
197711,49.7,-0.5
197712,49.8,2.7
197801,50.6,2.9
197802,49.5,1.4
197803,52.4,3.4
197804,49.6,-0.9
197805,52.4,-1.1
197806,55.1,-0.6
197807,55.8,-1.6
197808,56.6,-1.7
197809,56.2,-0.7
197810,54.6,0.6
197811,47.0,-3.2
197812,43.0,-4.1
197901,45.3,-2.4
197902,46.8,-1.3
197903,49.1,0.1
197904,49.7,-0.8
197905,52.7,-0.8
197906,53.6,-2.1
197907,56.4,-1.0
197908,57.7,-0.6
197909,60.5,3.6
197910,55.6,1.6
197911,50.7,0.5
197912,50.1,3.0
198001,46.6,-1.1
198002,51.7,3.6
198003,46.9,-2.1
198004,50.1,-0.4
198005,50.6,-2.9
198006,53.8,-1.9
198007,55.7,-1.7
198008,53.3,-5.0
198009,54.9,-2.0
198010,52.6,-1.4
198011,49.6,-0.6
198012,49.5,2.4
198101,50.8,3.1
198102,49.6,1.5
198103,48.5,-0.5
198104,48.9,-1.6
198105,51.6,-1.9
198106,54.8,-0.9
198107,53.5,-3.9
198108,56.4,-1.9
198109,56.2,-0.7
198110,52.0,-2.0
198111,52.5,2.3
198112,50.6,3.5
198201,43.7,-4.0
198202,47.2,-0.9
198203,46.7,-2.3
198204,48.2,-2.3
198205,50.7,-2.8
198206,53.5,-2.2
198207,54.9,-2.5
198208,56.7,-1.6
198209,55.6,-1.3
198210,54.5,0.5
198211,49.5,-0.7
198212,47.7,0.6
198301,47.8,0.1
198302,50.9,2.8
198303,50.8,1.8
198304,48.8,-1.7
198305,52.0,-1.5
198306,54.6,-1.1
198307,56.5,-0.9
198308,59.0,0.7
198309,57.7,0.8
198310,54.9,0.9
198311,50.7,0.5
198312,48.8,1.7
198401,47.7,0.0
198402,48.5,0.4
198403,50.5,1.5
198404,48.1,-2.4
198405,52.3,-1.2
198406,52.8,-2.9
198407,56.2,-1.2
198408,57.7,-0.6
198409,56.3,-0.6
198410,52.0,-2.0
198411,49.6,-0.6
198412,45.1,-2.0
198501,46.7,-1.0
198502,46.2,-1.9
198503,45.8,-3.2
198504,49.9,-0.6
198505,52.1,-1.4
