Fresno, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
189502,54.0,1.1
189503,55.1,-2.9
189504,61.4,-1.6
189505,68.8,-2.0
189506,78.6,0.3
189507,80.7,-3.5
189508,81.9,-0.9
189509,71.7,-6.0
189510,68.0,0.7
189511,54.2,-1.5
189512,45.0,-3.1
189601,52.0,3.4
189602,54.8,1.9
189603,57.7,-0.3
189604,56.1,-6.9
189605,65.3,-5.5
189606,80.0,1.7
189607,86.4,2.2
189608,81.2,-1.6
189609,73.9,-3.8
189610,68.1,0.8
189611,54.6,-1.1
189612,50.7,2.6
189701,45.1,-3.5
189702,50.5,-2.4
189703,50.0,-8.0
189704,64.9,1.9
189705,73.1,2.3
189706,75.7,-2.6
189707,84.2,0.0
189708,82.5,-0.3
189709,74.2,-3.5
189710,62.5,-4.8
189711,53.4,-2.3
189712,46.4,-1.7
189801,43.1,-5.5
189802,55.2,2.3
189803,54.2,-3.8
189804,66.8,3.8
189805,66.6,-4.2
189806,78.6,0.3
189807,85.3,1.1
189808,83.0,0.2
189809,74.2,-3.5
189810,66.0,-1.3
189811,53.9,-1.8
189812,46.6,-1.5
189901,50.3,1.7
189902,52.6,-0.3
189903,55.7,-2.3
189904,62.5,-0.5
189905,64.6,-6.2
189906,79.7,1.4
189907,83.2,-1.0
189908,76.5,-6.3
189909,78.7,1.0
189910,61.7,-5.6
189911,55.8,0.1
189912,45.2,-2.9
190001,48.1,-0.5
190002,52.7,-0.2
190003,60.6,2.6
190004,59.7,-3.3
190005,69.7,-1.1
190006,78.7,0.4
190007,83.8,-0.4
190008,76.5,-6.3
190009,70.9,-6.8
190010,64.0,-3.3
190011,58.9,3.2
190012,46.7,-1.4
190101,49.1,0.5
190102,53.1,0.2
190103,57.0,-1.0
190104,59.8,-3.2
190105,67.0,-3.8
190106,75.7,-2.6
190107,83.3,-0.9
190108,83.7,0.9
190109,72.0,-5.7
190110,68.5,1.2
190111,60.0,4.3
190112,48.7,0.6
190201,44.4,-4.2
190202,53.9,1.0
190203,53.4,-4.6
190204,60.4,-2.6
190205,65.8,-5.0
190206,79.6,1.3
190207,81.7,-2.5
190208,79.8,-3.0
190209,77.3,-0.4
190210,65.7,-1.6
190211,52.7,-3.0
190212,48.3,0.2
190301,45.3,-3.3
190302,47.2,-5.7
190303,56.3,-1.7
190304,58.7,-4.3
190305,69.1,-1.7
190306,78.5,0.2
190307,78.7,-5.5
190308,81.9,-0.9
190309,75.0,-2.7
190310,69.1,1.8
190311,56.7,1.0
190312,46.9,-1.2
190401,46.0,-2.6
190402,53.8,0.9
190403,55.8,-2.2
190404,61.6,-1.4
190405,72.8,2.0
190406,79.4,1.1
190407,81.2,-3.0
190408,84.2,1.4
190409,76.6,-1.1
190410,64.8,-2.5
190411,57.0,1.3
190412,47.4,-0.7
190501,50.6,2.0
190502,55.0,2.1
190503,59.2,1.2
190504,63.7,0.7
190505,65.1,-5.7
190506,75.7,-2.6
190507,83.8,-0.4
190508,81.3,-1.5
190509,74.4,-3.3
190510,65.0,-2.3
190511,54.0,-1.7
190512,44.4,-3.7
190601,50.2,1.6
190602,56.6,3.7
190603,55.4,-2.6
190604,59.4,-3.6
190605,64.8,-6.0
190606,73.0,-5.3
190607,87.4,3.2
190608,83.6,0.8
190609,75.5,-2.2
190610,67.4,0.1
190611,52.7,-3.0
190612,48.8,0.7
190701,48.0,-0.6
190702,55.3,2.4
190703,54.2,-3.8
190704,63.7,0.7
190705,66.7,-4.1
190706,72.1,-6.2
190707,80.1,-4.1
190708,78.3,-4.5
190709,70.1,-7.6
190710,64.9,-2.4
190711,54.9,-0.8
190712,49.5,1.4
190801,48.5,-0.1
190802,49.1,-3.8
190803,56.2,-1.8
190804,63.1,0.1
190805,63.9,-6.9
190806,73.0,-5.3
190807,86.7,2.5
190808,81.7,-1.1
190809,74.7,-3.0
190810,62.3,-5.0
190811,55.8,0.1
190812,41.5,-6.6
190901,52.0,3.4
190902,49.9,-3.0
190903,52.3,-5.7
190904,62.9,-0.1
190905,65.9,-4.9
190906,75.1,-3.2
190907,79.5,-4.7
190908,80.9,-1.9
190909,74.5,-3.2
190910,64.2,-3.1
190911,54.0,-1.7
190912,45.4,-2.7
191001,44.7,-3.9
191002,49.3,-3.6
191003,60.0,2.0
191004,65.4,2.4
191005,71.2,0.4
191006,74.0,-4.3
191007,83.4,-0.8
191008,81.9,-0.9
191009,73.7,-4.0
191010,67.0,-0.3
191011,55.1,-0.6
191012,49.1,1.0
191101,50.7,2.1
191102,47.6,-5.3
191103,58.3,0.3
191104,59.2,-3.8
191105,64.2,-6.6
191106,75.4,-2.9
191107,84.3,0.1
191108,77.4,-5.4
191109,70.0,-7.7
191110,64.0,-3.3
191111,53.7,-2.0
191112,44.9,-3.2
191201,48.7,0.1
191202,53.3,0.4
191203,53.4,-4.6
191204,57.0,-6.0
191205,67.7,-3.1
191206,75.5,-2.8
191207,80.0,-4.2
191208,77.9,-4.9
191209,73.4,-4.3
191210,61.9,-5.4
191211,55.5,-0.2
191212,45.7,-2.4
191301,44.7,-3.9
191302,50.8,-2.1
191303,55.1,-2.9
191304,60.9,-2.1
191305,68.7,-2.1
191306,72.3,-6.0
191307,81.1,-3.1
191308,83.2,0.4
191309,76.9,-0.8
191310,66.9,-0.4
191311,55.4,-0.3
191312,47.1,-1.0
191401,50.3,1.7
191402,52.4,-0.5
191403,59.1,1.1
191404,61.0,-2.0
191405,69.0,-1.8
191406,73.8,-4.5
191407,80.7,-3.5
191408,80.5,-2.3
191409,71.8,-5.9
191410,64.8,-2.5
191411,57.6,1.9
191412,44.9,-3.2
191501,47.6,-1.0
191502,52.5,-0.4
191503,58.6,0.6
191504,60.2,-2.8
191505,63.2,-7.6
191506,75.2,-3.1
191507,80.5,-3.7
191508,82.1,-0.7
191509,73.2,-4.5
191510,67.6,0.3
191511,54.1,-1.6
191512,48.5,0.4
191601,45.8,-2.8
191602,55.1,2.2
191603,57.6,-0.4
191604,62.6,-0.4
191605,64.5,-6.3
191606,73.5,-4.8
191607,79.7,-4.5
191608,78.5,-4.3
191609,73.5,-4.2
191610,60.0,-7.3
191611,51.5,-4.2
191612,45.6,-2.5
191701,43.0,-5.6
191702,51.6,-1.3
191703,51.5,-6.5
191704,59.5,-3.5
191705,62.6,-8.2
191706,77.3,-1.0
191707,86.2,2.0
191708,81.4,-1.4
191709,75.6,-2.1
191710,69.5,2.2
191711,56.9,1.2
191712,49.9,1.8
191801,46.6,-2.0
191802,51.6,-1.3
191803,56.7,-1.3
191804,62.0,-1.0
191805,64.0,-6.8
191806,82.7,4.4
191807,80.1,-4.1
191808,79.5,-3.3
191809,72.7,-5.0
191810,66.9,-0.4
191811,53.0,-2.7
191812,45.2,-2.9
191901,48.5,-0.1
191902,49.7,-3.2
191903,52.9,-5.1
191904,62.6,-0.4
191905,70.0,-0.8
191906,75.8,-2.5
191907,83.1,-1.1
191908,81.4,-1.4
191909,73.4,-4.3
191910,62.3,-5.0
191911,53.3,-2.4
191912,47.3,-0.8
192001,48.4,-0.2
192002,52.5,-0.4
192003,52.9,-5.1
192004,59.7,-3.3
192005,68.4,-2.4
192006,75.1,-3.2
192007,79.6,-4.6
192008,81.7,-1.1
192009,72.4,-5.3
192010,60.2,-7.1
192011,54.3,-1.4
192012,47.7,-0.4
192101,46.7,-1.9
192102,51.7,-1.2
192103,57.1,-0.9
192104,59.4,-3.6
192105,63.8,-7.0
192106,76.2,-2.1
192107,84.1,-0.1
192108,80.1,-2.7
192109,73.0,-4.7
192110,66.8,-0.5
192111,57.2,1.5
192112,50.7,2.6
192201,41.9,-6.7
192202,49.8,-3.1
192203,52.8,-5.2
192204,57.7,-5.3
192205,68.8,-2.0
192206,76.7,-1.6
192207,84.1,-0.1
192208,79.3,-3.5
192209,79.3,1.6
192210,64.5,-2.8
192211,51.3,-4.4
192212,50.0,1.9
192301,46.4,-2.2
192302,50.5,-2.4
192303,57.0,-1.0
192304,59.5,-3.5
192305,67.3,-3.5
192306,69.7,-8.6
192307,80.1,-4.1
192308,79.2,-3.6
192309,76.6,-1.1
192310,64.2,-3.1
192311,58.4,2.7
192312,46.4,-1.7
192401,46.9,-1.7
192402,56.6,3.7
192403,54.6,-3.4
192404,62.3,-0.7
192405,72.8,2.0
192406,77.6,-0.7
192407,80.7,-3.5
192408,80.0,-2.8
192409,75.4,-2.3
192410,62.1,-5.2
192411,55.3,-0.4
192412,45.7,-2.4
192501,48.3,-0.3
192502,54.7,1.8
192503,57.0,-1.0
192504,60.9,-2.1
192505,69.1,-1.7
192506,77.3,-1.0
192507,84.0,-0.2
192508,78.8,-4.0
192509,69.6,-8.1
192510,63.6,-3.7
192511,54.4,-1.3
192512,46.4,-1.7
192601,43.4,-5.2
192602,54.4,1.5
192603,61.1,3.1
192604,66.2,3.2
192605,70.7,-0.1
192606,80.6,2.3
192607,83.8,-0.4
192608,80.6,-2.2
192609,71.9,-5.8
192610,67.0,-0.3
192611,61.1,5.4
192612,46.8,-1.3
192701,48.1,-0.5
192702,53.4,0.5
192703,54.6,-3.4
192704,61.0,-2.0
192705,67.3,-3.5
192706,75.5,-2.8
192707,83.1,-1.1
192708,79.2,-3.6
192709,70.3,-7.4
192710,67.3,0.0
192711,54.7,-1.0
192712,47.3,-0.8
192801,46.9,-1.7
192802,52.6,-0.3
192803,59.6,1.6
192804,61.6,-1.4
192805,72.3,1.5
192806,75.8,-2.5
192807,81.5,-2.7
192808,80.8,-2.0
192809,75.8,-1.9
192810,64.9,-2.4
192811,54.2,-1.5
192812,44.3,-3.8
192901,43.3,-5.3
192902,49.5,-3.4
192903,55.6,-2.4
192904,57.5,-5.5
192905,69.6,-1.2
192906,74.9,-3.4
192907,81.0,-3.2
192908,82.3,-0.5
192909,74.7,-3.0
192910,68.4,1.1
192911,57.3,1.6
192912,49.9,1.8
193001,46.7,-1.9
193002,56.1,3.2
193003,57.4,-0.6
193004,63.4,0.4
193005,63.5,-7.3
193006,76.8,-1.5
193007,81.8,-2.4
193008,79.0,-3.8
193009,69.8,-7.9
193010,64.5,-2.8
193011,55.8,0.1
193012,46.5,-1.6
193101,48.8,0.2
193102,54.1,1.2
193103,58.5,0.5
193104,66.1,3.1
193105,73.5,2.7
193106,73.8,-4.5
193107,87.5,3.3
193108,84.3,1.5
193109,72.1,-5.6
193110,65.4,-1.9
193111,52.7,-3.0
193112,46.6,-1.5
193201,44.7,-3.9
193202,50.6,-2.3
193203,58.4,0.4
193204,60.1,-2.9
193205,68.8,-2.0
193206,76.8,-1.5
193207,80.3,-3.9
193208,79.6,-3.2
193209,77.8,0.1
193210,66.0,-1.3
193211,59.9,4.2
193212,43.2,-4.9
193301,42.9,-5.7
193302,48.9,-4.0
193303,56.1,-1.9
193304,60.9,-2.1
193305,62.7,-8.1
193306,73.4,-4.9
193307,85.5,1.3
193308,82.2,-0.6
193309,72.6,-5.1
193310,71.5,4.2
193311,57.6,1.9
193312,46.5,-1.6
193401,46.1,-2.5
193402,54.6,1.7
193403,64.0,6.0
193404,67.7,4.7
193405,71.4,0.6
193406,73.4,-4.9
193407,81.9,-2.3
193408,81.2,-1.6
193409,76.7,-1.0
193410,66.2,-1.1
193411,55.6,-0.1
193412,47.6,-0.5
193501,47.0,-1.6
193502,51.0,-1.9
193503,51.3,-6.7
193504,60.7,-2.3
193505,67.6,-3.2
193506,78.4,0.1
193507,80.4,-3.8
193508,82.4,-0.4
193509,76.5,-1.2
193510,63.4,-3.9
193511,51.2,-4.5
193512,49.2,1.1
193601,50.8,2.2
193602,52.1,-0.8
193603,57.9,-0.1
193604,63.8,0.8
193605,71.0,0.2
193606,76.2,-2.1
193607,85.2,1.0
193608,83.1,0.3
193609,76.3,-1.4
193610,67.5,0.2
193611,55.3,-0.4
193612,46.0,-2.1
193701,40.8,-7.8
193702,51.1,-1.8
193703,56.4,-1.6
193704,60.3,-2.7
193705,70.7,-0.1
193706,75.7,-2.6
193707,83.5,-0.7
193708,82.4,-0.4
193709,75.3,-2.4
193710,68.0,0.7
193711,57.1,1.4
193712,50.9,2.8
193801,46.7,-1.9
193802,52.6,-0.3
193803,52.5,-5.5
193804,61.0,-2.0
193805,69.5,-1.3
193806,77.8,-0.5
