Los Angeles, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194408,0.00,0.00
194409,0.00,-0.11
194410,0.06,-0.43
194411,3.77,2.95
194412,0.54,-1.69
194501,0.15,-2.71
194502,2.74,-0.25
194503,3.21,1.48
194504,0.00,-0.60
194505,0.00,-0.28
194506,0.03,-0.05
194507,0.00,-0.04
194508,0.00,0.00
194509,0.00,-0.11
194510,0.46,-0.03
194511,0.18,-0.64
194512,4.45,2.22
194601,0.25,-2.61
194602,0.53,-2.46
194603,3.29,1.56
194604,0.65,0.05
194605,0.00,-0.28
194606,0.00,-0.08
194607,0.00,-0.04
194608,0.00,0.00
194609,0.01,-0.10
194610,0.80,0.31
194611,7.93,7.11
194612,2.91,0.68
194701,0.09,-2.77
194702,0.44,-2.55
194703,1.02,-0.71
194704,0.23,-0.37
194705,0.04,-0.24
194706,0.00,-0.08
194707,0.00,-0.04
194708,0.01,0.01
194709,0.03,-0.08
194710,0.25,-0.24
194711,0.03,-0.79
194712,0.98,-1.25
194801,0.15,-2.71
194802,1.00,-1.99
194803,2.24,0.51
194804,0.63,0.03
194805,0.00,-0.28
194806,0.04,-0.04
194807,0.00,-0.04
194808,0.00,0.00
194809,0.00,-0.11
194810,0.03,-0.46
194811,0.00,-0.82
194812,2.22,-0.01
194901,2.30,-0.56
194902,1.55,-1.44
194903,1.44,-0.29
194904,0.01,-0.59
194905,0.42,0.14
194906,0.00,-0.08
194907,0.00,-0.04
194908,0.00,0.00
194909,0.01,-0.10
194910,0.00,-0.49
194911,1.46,0.64
194912,2.21,-0.02
195001,2.54,-0.32
195002,2.04,-0.95
195003,0.47,-1.26
195004,0.41,-0.19
195005,0.00,-0.28
195006,0.02,-0.06
195007,0.03,-0.01
195008,0.00,0.00
195009,0.11,0.00
195010,0.12,-0.37
195011,0.95,0.13
195012,0.01,-2.22
195101,2.82,-0.04
195102,0.84,-2.15
195103,0.38,-1.35
195104,1.37,0.77
195105,0.02,-0.26
195106,0.00,-0.08
195107,0.00,-0.04
195108,0.06,0.06
195109,0.00,-0.11
195110,0.23,-0.26
195111,0.71,-0.11
195112,4.63,2.40
195201,7.24,4.38
195202,0.72,-2.27
195203,4.33,2.60
195204,1.21,0.61
195205,0.00,-0.28
195206,0.00,-0.08
195207,0.00,-0.04
195208,0.00,0.00
195209,0.06,-0.05
195210,0.00,-0.49
195211,2.76,1.94
195212,2.28,0.05
195301,1.13,-1.73
195302,0.10,-2.89
195303,0.44,-1.29
195304,1.78,1.18
195305,0.00,-0.28
195306,0.00,-0.08
195307,0.02,-0.02
195308,0.00,0.00
195309,0.00,-0.11
195310,0.00,-0.49
195311,1.23,0.41
195312,0.06,-2.17
195401,4.78,1.92
195402,3.36,0.37
195403,2.60,0.87
195404,0.11,-0.49
195405,0.02,-0.26
195406,0.01,-0.07
195407,0.01,-0.03
195408,0.04,0.04
195409,0.00,-0.11
195410,0.00,-0.49
195411,1.24,0.42
195412,0.74,-1.49
195501,4.13,1.27
195502,0.88,-2.11
195503,0.15,-1.58
195504,2.20,1.60
195505,0.42,0.14
195506,0.07,-0.01
195507,0.01,-0.03
195508,0.00,0.00
195509,0.00,-0.11
195510,0.00,-0.49
195511,1.35,0.53
195512,0.94,-1.29
195601,8.07,5.21
195602,0.51,-2.48
195603,0.00,-1.73
195604,2.07,1.47
195605,0.56,0.28
195606,0.00,-0.08
195607,0.00,-0.04
195608,0.00,0.00
195609,0.00,-0.11
195610,0.01,-0.48
195611,0.00,-0.82
195612,0.49,-1.74
195701,3.88,1.02
