Sacramento, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194112,5.02,1.59
194201,4.34,0.68
194202,2.55,-0.94
194203,2.68,0.00
194204,-99.00,-100.26
194205,-99.00,-99.75
194206,-99.00,-99.23
194207,-99.00,-99.00
194208,-99.00,-99.04
194209,-99.00,-99.09
194210,-99.00,-99.84
194211,1.45,-0.15
194212,2.70,-0.73
194301,5.91,2.25
194302,1.19,-2.30
194303,3.94,1.26
194304,-99.00,-100.26
194305,-99.00,-99.75
194306,-99.00,-99.23
194307,-99.00,-99.00
194308,-99.00,-99.04
194309,-99.00,-99.09
194310,-99.00,-99.84
194311,0.62,-0.98
194312,1.82,-1.61
194401,2.50,-1.16
194402,6.41,2.92
194403,1.36,-1.32
194404,-99.00,-100.26
194405,-99.00,-99.75
194406,-99.00,-99.23
194407,-99.00,-99.00
194408,-99.00,-99.04
194409,-99.00,-99.09
194410,-99.00,-99.84
194411,3.12,1.52
194412,2.06,-1.37
194501,1.44,-2.22
194502,3.88,0.39
194503,2.33,-0.35
194504,-99.00,-100.26
194505,-99.00,-99.75
194506,-99.00,-99.23
194507,-99.00,-99.00
194508,-99.00,-99.04
194509,-99.00,-99.09
194510,-99.00,-99.84
194511,1.45,-0.15
194512,4.84,1.41
194601,0.56,-3.10
194602,0.73,-2.76
194603,1.81,-0.87
194604,-99.00,-100.26
194605,-99.00,-99.75
194606,-99.00,-99.23
194607,-99.00,-99.00
194608,-99.00,-99.04
194609,-99.00,-99.09
194610,-99.00,-99.84
194611,2.27,0.67
194612,1.24,-2.19
194701,0.47,-3.19
194702,2.06,-1.43
194703,2.32,-0.36
194704,-99.00,-100.26
194705,-99.00,-99.75
194706,-99.00,-99.23
194707,0.00,0.00
194708,0.00,-0.04
194709,0.01,-0.08
194710,2.51,1.67
194711,1.01,-0.59
194712,0.53,-2.90
194801,0.38,-3.28
194802,0.80,-2.69
194803,3.26,0.58
194804,2.63,1.37
194805,3.13,2.38
194806,0.00,-0.23
194807,0.00,0.00
194808,0.00,-0.04
194809,0.01,-0.08
194810,1.39,0.55
194811,0.45,-1.15
194812,4.84,1.41
194901,1.47,-2.19
194902,1.76,-1.73
194903,3.72,1.04
194904,0.00,-1.26
194905,0.21,-0.54
194906,0.00,-0.23
194907,0.02,0.02
194908,0.03,-0.01
194909,0.01,-0.08
194910,0.13,-0.71
194911,1.13,-0.47
194912,1.93,-1.50
195001,3.96,0.30
195002,2.88,-0.61
195003,1.78,-0.90
195004,0.62,-0.64
195005,0.40,-0.35
195006,0.02,-0.21
195007,0.01,0.01
195008,0.00,-0.04
195009,0.35,0.26
195010,2.44,1.60
195011,4.80,3.20
195012,4.55,1.12
195101,1.97,-1.69
195102,1.62,-1.87
195103,0.66,-2.02
195104,0.69,-0.57
195105,0.47,-0.28
195106,0.00,-0.23
195107,0.00,0.00
195108,0.00,-0.04
195109,0.14,0.05
195110,1.33,0.49
195111,2.85,1.25
195112,4.72,1.29
195201,7.96,4.30
195202,1.13,-2.36
195203,4.14,1.46
195204,1.33,0.07
195205,0.03,-0.72
195206,0.25,0.02
195207,0.01,0.01
195208,0.00,-0.04
195209,0.00,-0.09
195210,0.00,-0.84
195211,2.00,0.40
195212,7.10,3.67
195301,2.57,-1.09
195302,0.20,-3.29
195303,1.22,-1.46
195304,2.13,0.87
195305,0.42,-0.33
195306,0.63,0.40
195307,0.00,0.00
195308,0.07,0.03
195309,0.00,-0.09
195310,0.32,-0.52
195311,1.49,-0.11
195312,0.55,-2.88
195401,2.67,-0.99
