Sacramento, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194111,50.4,-3.2
194112,48.1,1.1
194201,44.9,-2.4
194202,48.6,-2.5
194203,51.9,-3.2
194204,-99.0,-158.2
194205,-99.0,-164.8
194206,-99.0,-171.0
194207,-99.0,-174.6
194208,-99.0,-174.1
194209,-99.0,-171.2
194210,-99.0,-163.3
194211,51.5,-2.1
194212,44.9,-2.1
194301,45.1,-2.2
194302,50.3,-0.8
194303,53.8,-1.3
194304,-99.0,-158.2
194305,-99.0,-164.8
194306,-99.0,-171.0
194307,-99.0,-174.6
194308,-99.0,-174.1
194309,-99.0,-171.2
194310,-99.0,-163.3
194311,52.6,-1.0
194312,46.7,-0.3
194401,45.6,-1.7
194402,48.2,-2.9
194403,53.6,-1.5
194404,-99.0,-158.2
194405,-99.0,-164.8
194406,-99.0,-171.0
194407,-99.0,-174.6
194408,-99.0,-174.1
194409,-99.0,-171.2
194410,-99.0,-163.3
194411,49.8,-3.8
194412,46.1,-0.9
194501,43.0,-4.3
194502,50.4,-0.7
194503,49.0,-6.1
194504,-99.0,-158.2
194505,-99.0,-164.8
194506,-99.0,-171.0
194507,-99.0,-174.6
194508,-99.0,-174.1
194509,-99.0,-171.2
194510,-99.0,-163.3
194511,50.6,-3.0
194512,45.7,-1.3
194601,43.7,-3.6
194602,44.9,-6.2
194603,51.4,-3.7
194604,-99.0,-158.2
194605,-99.0,-164.8
194606,-99.0,-171.0
194607,-99.0,-174.6
194608,-99.0,-174.1
194609,-99.0,-171.2
194610,-99.0,-163.3
194611,49.2,-4.4
194612,44.5,-2.5
194701,40.6,-6.7
194702,49.0,-2.1
194703,54.2,-0.9
194704,-99.0,-158.2
194705,-99.0,-164.8
194706,-99.0,-171.0
194707,72.0,-3.6
194708,71.2,-3.9
194709,72.1,-0.1
194710,60.9,-3.4
194711,48.5,-5.1
194712,44.0,-3.0
194801,47.3,0.0
194802,46.5,-4.6
194803,48.8,-6.3
194804,52.8,-6.4
194805,59.4,-6.4
194806,68.5,-3.5
194807,72.4,-3.2
194808,71.3,-3.8
194809,69.2,-3.0
194810,61.8,-2.5
194811,50.8,-2.8
194812,41.2,-5.8
194901,37.5,-9.8
194902,44.6,-6.5
194903,52.0,-3.1
194904,60.7,1.5
194905,63.6,-2.2
194906,71.8,-0.2
194907,73.1,-2.5
194908,70.8,-4.3
194909,70.5,-1.7
194910,60.4,-3.9
194911,54.0,0.4
194912,42.3,-4.7
195001,41.0,-6.3
195002,49.3,-1.8
195003,51.0,-4.1
195004,59.8,0.6
195005,63.9,-1.9
195006,67.9,-4.1
195007,75.0,-0.6
195008,74.6,-0.5
195009,70.1,-2.1
195010,62.6,-1.7
195011,56.1,2.5
195012,49.3,2.3
195101,44.4,-2.9
195102,49.0,-2.1
195103,52.5,-2.6
195104,57.4,-1.8
195105,64.4,-1.4
195106,68.6,-3.4
195107,72.3,-3.3
195108,71.8,-3.3
195109,70.3,-1.9
195110,61.4,-2.9
195111,52.6,-1.0
195112,44.0,-3.0
195201,43.1,-4.2
195202,48.0,-3.1
195203,49.6,-5.5
195204,58.4,-0.8
195205,65.1,-0.7
195206,64.6,-7.4
195207,74.1,-1.5
195208,73.1,-2.0
195209,72.4,0.2
195210,64.8,0.5
195211,49.3,-4.3
195212,46.0,-1.0
195301,49.9,2.6
195302,49.8,-1.3
195303,51.8,-3.3
195304,56.7,-2.5
195305,59.3,-6.5
195306,66.6,-5.4
195307,75.9,0.3
195308,70.4,-4.7
195309,72.0,-0.2
195310,61.4,-2.9
195311,52.6,-1.0
195312,46.5,-0.5
195401,45.4,-1.9
195402,48.1,-3.0
195403,50.0,-5.1
195404,60.9,1.7
195405,65.1,-0.7
195406,68.7,-3.3
195407,75.1,-0.5
195408,69.4,-5.7
195409,67.8,-4.4
195410,61.1,-3.2
195411,50.0,-3.6
195412,42.7,-4.3
195501,41.1,-6.2
195502,46.9,-4.2
195503,53.1,-2.0
195504,52.9,-6.3
195505,64.7,-1.1
195506,68.6,-3.4
195507,71.9,-3.7
195508,74.2,-0.9
195509,70.7,-1.5
195510,62.7,-1.6
195511,50.5,-3.1
195512,48.7,1.7
195601,47.1,-0.2
195602,46.1,-5.0
195603,53.0,-2.1
195604,57.5,-1.7
195605,63.7,-2.1
195606,71.0,-1.0
195607,73.3,-2.3
195608,71.1,-4.0
195609,69.9,-2.3
195610,59.9,-4.4
195611,52.1,-1.5
195612,43.2,-3.8
195701,42.3,-5.0
195702,51.1,0.0
195703,53.4,-1.7
195704,59.5,0.3
195705,63.0,-2.8
195706,73.8,1.8
195707,74.7,-0.9
195708,71.7,-3.4
195709,70.4,-1.8
195710,60.0,-4.3
195711,50.6,-3.0
195712,44.3,-2.7
195801,44.7,-2.6
195802,52.9,1.8
195803,49.7,-5.4
195804,58.7,-0.5
195805,65.9,0.1
195806,69.7,-2.3
195807,73.5,-2.1
195808,77.4,2.3
195809,72.8,0.6
195810,66.3,2.0
195811,53.4,-0.2
195812,49.3,2.3
195901,48.1,0.8
195902,48.4,-2.7
195903,56.2,1.1
195904,62.8,3.6
195905,63.6,-2.2
195906,73.3,1.3
195907,76.7,1.1
195908,72.8,-2.3
195909,68.6,-3.6
195910,65.3,1.0
195911,53.4,-0.2
195912,45.7,-1.3
196001,45.4,-1.9
196002,49.8,-1.3
196003,55.3,0.2
196004,58.3,-0.9
196005,62.9,-2.9
196006,74.9,2.9
196007,76.8,1.2
196008,73.8,-1.3
196009,70.8,-1.4
196010,62.2,-2.1
196011,50.8,-2.8
196012,44.4,-2.6
196101,40.9,-6.4
196102,51.2,0.1
196103,52.2,-2.9
196104,58.5,-0.7
196105,60.4,-5.4
196106,74.1,2.1
196107,77.6,2.0
196108,76.2,1.1
196109,69.6,-2.6
196110,63.0,-1.3
196111,51.1,-2.5
196112,43.1,-3.9
196201,40.8,-6.5
196202,46.6,-4.5
196203,50.1,-5.0
196204,60.4,1.2
196205,62.5,-3.3
196206,70.6,-1.4
196207,74.0,-1.6
196208,73.9,-1.2
196209,69.9,-2.3
196210,61.3,-3.0
196211,53.6,0.0
196212,45.0,-2.0
196301,40.0,-7.3
196302,54.9,3.8
196303,50.0,-5.1
196304,52.6,-6.6
196305,61.0,-4.8
196306,69.1,-2.9
196307,72.9,-2.7
196308,74.1,-1.0
196309,72.9,0.7
196310,63.2,-1.1
196311,50.5,-3.1
196312,40.2,-6.8
196401,44.1,-3.2
196402,48.3,-2.8
196403,51.3,-3.8
196404,57.9,-1.3
196405,62.0,-3.8
196406,69.0,-3.0
196407,74.9,-0.7
196408,74.8,-0.3
196409,69.3,-2.9
196410,65.7,1.4
196411,49.3,-4.3
196412,48.7,1.7
196501,44.4,-2.9
196502,48.2,-2.9
196503,52.0,-3.1
196504,56.3,-2.9
196505,63.4,-2.4
196506,66.0,-6.0
196507,73.3,-2.3
196508,74.6,-0.5
196509,66.6,-5.6
196510,64.9,0.6
196511,53.6,0.0
196512,40.0,-7.0
196601,44.7,-2.6
196602,46.5,-4.6
196603,53.3,-1.8
196604,61.8,2.6
196605,65.4,-0.4
196606,71.5,-0.5
196607,71.9,-3.7
196608,75.9,0.8
196609,71.0,-1.2
196610,63.1,-1.2
196611,53.7,0.1
196612,45.1,-1.9
196701,44.9,-2.4
196702,47.4,-3.7
196703,49.7,-5.4
196704,48.6,-10.6
196705,64.1,-1.7
196706,68.4,-3.6
196707,77.0,1.4
196708,78.0,2.9
196709,73.8,1.6
196710,64.5,0.2
196711,55.1,1.5
196712,43.0,-4.0
196801,42.4,-4.9
196802,53.5,2.4
196803,54.0,-1.1
196804,58.8,-0.4
196805,63.7,-2.1
196806,72.9,0.9
196807,75.2,-0.4
196808,72.0,-3.1
196809,71.1,-1.1
196810,61.0,-3.3
196811,51.3,-2.3
196812,42.5,-4.5
196901,43.0,-4.3
196902,46.4,-4.7
196903,51.4,-3.7
196904,56.1,-3.1
196905,65.9,0.1
196906,68.0,-4.0
196907,75.3,-0.3
196908,76.9,1.8
196909,73.0,0.8
196910,59.9,-4.4
196911,52.9,-0.7
196912,47.0,0.0
197001,48.3,1.0
197002,50.9,-0.2
197003,53.9,-1.2
197004,55.1,-4.1
197005,66.5,0.7
197006,70.5,-1.5
197007,75.8,0.2
197008,73.7,-1.4
197009,71.8,-0.4
197010,61.1,-3.2
197011,54.2,0.6
197012,45.1,-1.9
197101,44.3,-3.0
197102,47.2,-3.9
197103,51.5,-3.6
197104,55.4,-3.8
197105,60.8,-5.0
197106,69.5,-2.5
197107,75.2,-0.4
197108,75.8,0.7
197109,71.2,-1.0
197110,60.2,-4.1
197111,51.7,-1.9
197112,42.0,-5.0
197201,40.0,-7.3
197202,50.4,-0.7
197203,57.6,2.5
197204,57.6,-1.6
197205,65.8,0.0
197206,71.5,-0.5
197207,75.0,-0.6
197208,74.9,-0.2
197209,68.5,-3.7
197210,61.0,-3.3
197211,48.7,-4.9
197212,39.5,-7.5
197301,43.3,-4.0
197302,52.1,1.0
197303,50.1,-5.0
197304,59.7,0.5
197305,68.3,2.5
197306,73.6,1.6
197307,75.8,0.2
197308,73.2,-1.9
197309,69.8,-2.4
197310,62.4,-1.9
197311,50.9,-2.7
197312,45.8,-1.2
197401,45.2,-2.1
197402,47.4,-3.7
197403,53.1,-2.0
197404,55.5,-3.7
197405,62.8,-3.0
197406,69.4,-2.6
197407,73.1,-2.5
197408,73.0,-2.1
197409,71.2,-1.0
197410,65.2,0.9
197411,52.2,-1.4
197412,45.4,-1.6
197501,42.4,-4.9
197502,48.2,-2.9
197503,49.3,-5.8
197504,50.7,-8.5
197505,65.6,-0.2
197506,69.3,-2.7
197507,72.2,-3.4
197508,71.5,-3.6
197509,70.9,-1.3
197510,60.7,-3.6
197511,50.1,-3.5
197512,45.5,-1.5
197601,45.3,-2.0
197602,49.7,-1.4
197603,51.7,-3.4
197604,55.5,-3.7
197605,66.9,1.1
197606,70.7,-1.3
197607,74.6,-1.0
197608,69.9,-5.2
197609,70.6,-1.6
197610,65.4,1.1
197611,54.2,0.6
197612,45.1,-1.9
197701,42.8,-4.5
197702,51.5,0.4
197703,50.4,-4.7
197704,61.6,2.4
197705,58.8,-7.0
197706,71.6,-0.4
197707,73.6,-2.0
197708,73.3,-1.8
197709,68.3,-3.9
197710,63.3,-1.0
197711,53.9,0.3
197712,49.0,2.0
197801,49.7,2.4
197802,51.3,0.2
197803,56.6,1.5
197804,55.2,-4.0
197805,65.9,0.1
197806,69.4,-2.6
197807,74.5,-1.1
197808,74.4,-0.7
197809,69.0,-3.2
197810,65.3,1.0
197811,49.2,-4.4
197812,41.1,-5.9
197901,44.7,-2.6
197902,48.2,-2.9
197903,54.0,-1.1
197904,56.4,-2.8
197905,66.1,0.3
197906,71.3,-0.7
197907,75.0,-0.6
197908,72.5,-2.6
197909,74.0,1.8
197910,63.4,-0.9
197911,51.5,-2.1
197912,46.5,-0.5
198001,46.7,-0.6
198002,51.6,0.5
198003,51.4,-3.7
198004,59.3,0.1
198005,62.5,-3.3
198006,66.6,-5.4
198007,74.7,-0.9
198008,71.2,-3.9
198009,69.2,-3.0
198010,63.4,-0.9
198011,53.2,-0.4
198012,45.2,-1.8
198101,46.6,-0.7
198102,50.1,-1.0
198103,51.0,-4.1
198104,57.7,-1.5
198105,64.4,-1.4
198106,74.5,2.5
198107,74.9,-0.7
198108,74.3,-0.8
198109,69.4,-2.8
198110,63.3,-1.0
198111,60.0,6.4
198112,48.4,1.4
198201,40.9,-6.4
198202,50.3,-0.8
198203,50.2,-4.9
198204,55.1,-4.1
198205,65.2,-0.6
198206,66.2,-5.8
198207,72.9,-2.7
198208,73.2,-1.9
198209,69.0,-3.2
198210,62.2,-2.1
198211,48.2,-5.4
198212,45.4,-1.6
198301,42.6,-4.7
198302,50.6,-0.5
198303,52.3,-2.8
198304,54.2,-5.0
198305,64.2,-1.6
198306,70.5,-1.5
198307,73.1,-2.5
198308,74.9,-0.2
198309,74.1,1.9
198310,66.6,2.3
198311,52.9,-0.7
198312,50.2,3.2
198401,47.4,0.1
198402,49.4,-1.7
198403,57.3,2.2
198404,57.8,-1.4
198405,69.1,3.3
198406,70.8,-1.2
198407,77.5,1.9
198408,74.5,-0.6
198409,74.6,2.4
