San Francisco, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194507,62.8,-1.1
194508,62.0,-3.0
194509,63.9,-1.4
194510,61.0,-1.7
194511,54.2,-2.3
194512,51.4,-0.2
194601,49.0,-2.4
194602,48.6,-5.0
194603,52.0,-3.6
194604,54.0,-3.4
194605,56.1,-3.9
194606,59.3,-3.3
194607,62.4,-1.5
194608,61.0,-4.0
194609,63.5,-1.8
194610,59.4,-3.3
194611,52.4,-4.1
194612,49.5,-2.1
194701,45.4,-6.0
194702,-99.0,-152.6
194703,55.4,-0.2
194704,57.6,0.2
194705,58.9,-1.1
194706,63.4,0.8
194707,62.0,-1.9
194708,63.9,-1.1
194709,62.4,-2.9
194710,60.9,-1.8
194711,52.3,-4.2
194712,48.4,-3.2
194801,51.7,0.3
194802,48.9,-4.7
194803,50.6,-5.0
194804,53.3,-4.1
194805,55.8,-4.2
194806,61.1,-1.5
194807,61.9,-2.0
194808,62.4,-2.6
194809,60.9,-4.4
194810,59.7,-3.0
194811,53.9,-2.6
194812,46.5,-5.1
194901,43.0,-8.4
194902,47.7,-5.9
194903,53.2,-2.4
194904,54.6,-2.8
194905,57.3,-2.7
194906,61.1,-1.5
194907,60.1,-3.8
194908,62.0,-3.0
194909,63.6,-1.7
194910,57.9,-4.8
194911,57.4,0.9
194912,47.8,-3.8
195001,44.9,-6.5
195002,49.9,-3.7
195003,51.5,-4.1
195004,55.1,-2.3
195005,56.5,-3.5
195006,59.6,-3.0
195007,62.5,-1.4
195008,63.0,-2.0
195009,64.5,-0.8
195010,61.3,-1.4
195011,60.2,3.7
195012,54.1,2.5
195101,49.2,-2.2
195102,50.7,-2.9
195103,52.2,-3.4
195104,52.7,-4.7
195105,58.8,-1.2
195106,59.7,-2.9
195107,59.6,-4.3
195108,62.1,-2.9
195109,62.7,-2.6
195110,60.7,-2.0
195111,54.5,-2.0
195112,49.1,-2.5
195201,47.6,-3.8
195202,52.0,-1.6
195203,51.7,-3.9
195204,55.5,-1.9
195205,57.6,-2.4
195206,58.6,-4.0
195207,63.2,-0.7
195208,61.0,-4.0
195209,63.5,-1.8
195210,59.5,-3.2
195211,52.3,-4.2
195212,51.0,-0.6
195301,53.6,2.2
195302,50.7,-2.9
195303,51.5,-4.1
195304,53.0,-4.4
195305,56.4,-3.6
195306,59.4,-3.2
195307,60.9,-3.0
195308,62.9,-2.1
195309,64.8,-0.5
195310,59.3,-3.4
195311,55.7,-0.8
195312,51.7,0.1
195401,50.0,-1.4
195402,51.7,-1.9
195403,50.3,-5.3
195404,57.2,-0.2
195405,57.5,-2.5
195406,59.6,-3.0
195407,62.6,-1.3
195408,61.9,-3.1
195409,62.5,-2.8
195410,60.2,-2.5
195411,53.9,-2.6
195412,48.2,-3.4
195501,45.4,-6.0
195502,49.4,-4.2
195503,53.1,-2.5
195504,51.4,-6.0
195505,57.8,-2.2
195506,59.8,-2.8
195507,60.6,-3.3
195508,60.5,-4.5
195509,61.9,-3.4
195510,59.6,-3.1
195511,54.0,-2.5
195512,52.2,0.6
195601,50.6,-0.8
195602,48.2,-5.4
195603,51.7,-3.9
195604,54.3,-3.1
195605,58.6,-1.4
195606,61.6,-1.0
195607,62.0,-1.9
195608,62.4,-2.6
195609,63.9,-1.4
195610,58.4,-4.3
195611,54.7,-1.8
195612,48.7,-2.9
195701,46.0,-5.4
195702,53.1,-0.5
195703,53.8,-1.8
195704,56.9,-0.5
195705,58.8,-1.2
195706,63.9,1.3
195707,64.5,0.6
195708,62.9,-2.1
195709,65.7,0.4
195710,61.2,-1.5
195711,53.9,-2.6
195712,49.7,-1.9
195801,50.3,-1.1
195802,55.6,2.0
195803,50.5,-5.1
195804,56.5,-0.9
195805,59.9,-0.1
195806,62.9,0.3
195807,63.5,-0.4
195808,65.6,0.6
195809,68.5,3.2
195810,61.9,-0.8
195811,56.7,0.2
195812,54.7,3.1
195901,52.3,0.9
195902,51.2,-2.4
195903,56.1,0.5
195904,58.4,1.0
195905,58.1,-1.9
195906,62.2,-0.4
195907,64.0,0.1
195908,64.8,-0.2
195909,63.3,-2.0
195910,64.5,1.8
195911,56.0,-0.5
195912,50.9,-0.7
196001,49.0,-2.4
196002,51.9,-1.7
196003,55.8,0.2
196004,55.9,-1.5
196005,57.1,-2.9
196006,64.9,2.3
196007,62.8,-1.1
196008,62.0,-3.0
196009,62.4,-2.9
196010,60.1,-2.6
196011,53.3,-3.2
196012,49.0,-2.6
196101,47.2,-4.2
196102,53.5,-0.1
196103,53.1,-2.5
196104,56.4,-1.0
196105,55.4,-4.6
196106,63.6,1.0
196107,64.5,0.6
196108,64.9,-0.1
196109,64.5,-0.8
196110,61.0,-1.7
196111,53.2,-3.3
196112,47.5,-4.1
196201,47.4,-4.0
196202,50.4,-3.2
196203,50.8,-4.8
196204,56.2,-1.2
196205,57.2,-2.8
196206,60.3,-2.3
196207,60.6,-3.3
196208,64.0,-1.0
196209,61.2,-4.1
196210,59.8,-2.9
196211,55.7,-0.8
196212,49.9,-1.7
196301,45.7,-5.7
196302,56.2,2.6
196303,52.1,-3.5
196304,53.1,-4.3
196305,57.3,-2.7
196306,59.1,-3.5
196307,62.7,-1.2
196308,63.9,-1.1
196309,66.6,1.3
196310,62.4,-0.3
196311,54.4,-2.1
196312,46.5,-5.1
196401,48.3,-3.1
196402,51.2,-2.4
196403,52.1,-3.5
196404,54.4,-3.0
196405,54.8,-5.2
196406,61.9,-0.7
196407,63.7,-0.2
196408,64.9,-0.1
196409,64.1,-1.2
196410,61.6,-1.1
196411,52.3,-4.2
196412,51.9,0.3
196501,49.1,-2.3
196502,51.0,-2.6
196503,53.0,-2.6
196504,55.2,-2.2
196505,55.9,-4.1
196506,58.9,-3.7
196507,60.9,-3.0
196508,63.9,-1.1
196509,61.7,-3.6
196510,63.2,0.5
196511,55.8,-0.7
196512,45.6,-6.0
196601,48.2,-3.2
196602,49.4,-4.2
196603,52.2,-3.4
196604,58.5,1.1
196605,58.0,-2.0
196606,62.1,-0.5
196607,61.2,-2.7
196608,62.9,-2.1
196609,64.7,-0.6
196610,61.1,-1.6
196611,55.4,-1.1
196612,49.7,-1.9
196701,49.8,-1.6
196702,52.0,-1.6
196703,53.1,-2.5
196704,51.5,-5.9
196705,59.1,-0.9
196706,60.0,-2.6
196707,63.4,-0.5
196708,63.4,-1.6
196709,67.0,1.7
196710,64.1,1.4
196711,58.4,1.9
196712,48.7,-2.9
196801,47.1,-4.3
196802,55.2,1.6
196803,55.2,-0.4
196804,55.6,-1.8
196805,56.9,-3.1
196806,62.0,-0.6
196807,62.5,-1.4
196808,65.4,0.4
196809,64.8,-0.5
196810,60.1,-2.6
196811,55.1,-1.4
196812,48.4,-3.2
196901,47.7,-3.7
196902,49.5,-4.1
196903,52.8,-2.8
196904,54.7,-2.7
196905,60.1,0.1
196906,61.8,-0.8
196907,62.9,-1.0
196908,63.7,-1.3
196909,64.5,-0.8
196910,61.9,-0.8
196911,56.7,0.2
196912,54.4,2.8
197001,53.1,1.7
197002,55.5,1.9
197003,56.9,1.3
197004,54.4,-3.0
197005,61.1,1.1
197006,61.2,-1.4
197007,63.5,-0.4
197008,62.3,-2.7
197009,66.1,0.8
197010,59.1,-3.6
197011,56.6,0.1
197012,49.4,-2.2
197101,48.9,-2.5
197102,50.6,-3.0
197103,52.8,-2.8
197104,53.6,-3.8
197105,57.0,-3.0
197106,60.7,-1.9
197107,61.3,-2.6
197108,65.8,0.8
197109,66.8,1.5
197110,57.6,-5.1
197111,53.8,-2.7
197112,46.7,-4.9
197201,46.3,-5.1
197202,52.7,-0.9
197203,56.0,0.4
197204,56.0,-1.4
197205,58.3,-1.7
197206,61.5,-1.1
197207,65.0,1.1
197208,64.6,-0.4
197209,63.2,-2.1
197210,61.6,-1.1
197211,53.9,-2.6
197212,45.6,-6.0
197301,48.6,-2.8
197302,53.5,-0.1
197303,52.0,-3.6
197304,57.4,0.0
197305,59.3,-0.7
197306,64.1,1.5
197307,62.7,-1.2
197308,61.3,-3.7
197309,64.1,-1.2
197310,61.3,-1.4
197311,54.5,-2.0
197312,50.6,-1.0
197401,49.2,-2.2
197402,50.3,-3.3
197403,54.0,-1.6
197404,55.4,-2.0
197405,56.8,-3.2
197406,61.0,-1.6
197407,63.7,-0.2
197408,64.3,-0.7
197409,63.1,-2.2
197410,62.7,0.0
197411,54.4,-2.1
197412,49.3,-2.3
197501,48.0,-3.4
197502,51.5,-2.1
197503,52.0,-3.6
197504,51.2,-6.2
197505,59.0,-1.0
197506,60.5,-2.1
197507,62.5,-1.4
197508,63.6,-1.4
197509,62.0,-3.3
197510,59.5,-3.2
197511,52.9,-3.6
197512,50.0,-1.6
197601,49.2,-2.2
197602,51.2,-2.4
197603,51.7,-3.9
197604,53.9,-3.5
197605,58.9,-1.1
197606,63.8,1.2
197607,63.2,-0.7
197608,65.0,0.0
197609,63.9,-1.4
197610,62.0,-0.7
197611,57.7,1.2
197612,49.5,-2.1
197701,47.7,-3.7
197702,53.8,0.2
197703,51.5,-4.1
197704,56.1,-1.3
197705,56.4,-3.6
197706,61.0,-1.6
197707,63.1,-0.8
197708,64.7,-0.3
197709,64.1,-1.2
197710,61.2,-1.5
197711,56.0,-0.5
197712,53.0,1.4
197801,53.1,1.7
197802,53.4,-0.2
197803,57.7,2.1
197804,55.6,-1.8
197805,61.0,1.0
197806,61.0,-1.6
197807,62.1,-1.8
197808,63.9,-1.1
197809,66.4,1.1
197810,61.8,-0.9
197811,53.1,-3.4
197812,46.7,-4.9
197901,48.1,-3.3
197902,51.0,-2.6
197903,55.1,-0.5
197904,56.2,-1.2
197905,61.1,1.1
197906,61.6,-1.0
197907,64.4,0.5
197908,64.3,-0.7
197909,67.9,2.6
197910,63.2,0.5
197911,54.7,-1.8
197912,51.5,-0.1
198001,51.2,-0.2
198002,55.1,1.5
198003,53.6,-2.0
198004,56.5,-0.9
198005,56.9,-3.1
198006,60.5,-2.1
198007,63.6,-0.3
198008,62.2,-2.8
198009,63.9,-1.4
198010,61.8,-0.9
198011,56.2,-0.3
198012,51.4,-0.2
198101,51.7,0.3
198102,54.7,1.1
198103,53.9,-1.7
198104,56.8,-0.6
198105,59.6,-0.4
198106,65.7,3.1
198107,62.3,-1.6
198108,63.6,-1.4
198109,63.3,-2.0
198110,59.2,-3.5
198111,57.0,0.5
198112,52.9,1.3
198201,45.7,-5.7
198202,52.4,-1.2
198203,52.0,-3.6
198204,55.3,-2.1
198205,58.0,-2.0
198206,60.1,-2.5
198207,62.8,-1.1
198208,64.5,-0.5
198209,64.8,-0.5
198210,62.2,-0.5
198211,52.6,-3.9
198212,49.9,-1.7
198301,48.6,-2.8
198302,54.2,0.6
198303,53.8,-1.8
198304,55.3,-2.1
198305,59.0,-1.0
198306,62.7,0.1
198307,65.0,1.1
198308,66.8,1.8
198309,68.2,2.9
198310,64.3,1.6
198311,55.4,-1.1
198312,53.3,1.7
198401,51.2,-0.2
198402,52.9,-0.7
198403,57.0,1.4
198404,55.9,-1.5
198405,61.8,1.8
198406,61.2,-1.4
198407,65.6,1.7
198408,64.4,-0.6
198409,69.7,4.4
198410,60.3,-2.4
198411,53.8,-2.7
198412,47.7,-3.9
198501,46.3,-5.1
198502,51.5,-2.1
198503,51.3,-4.3
198504,58.9,1.5
198505,58.6,-1.4
198506,65.2,2.6
198507,65.1,1.2
198508,64.1,-0.9
198509,62.5,-2.8
198510,61.0,-1.7
198511,51.9,-4.6
198512,47.8,-3.8
198601,54.7,3.3
198602,56.2,2.6
198603,57.9,2.3
198604,57.3,-0.1
198605,59.2,-0.8
198606,63.7,1.1
198607,63.9,0.0
198608,63.0,-2.0
198609,61.4,-3.9
198610,61.9,-0.8
198611,57.4,0.9
198612,50.6,-1.0
198701,49.7,-1.7
198702,53.6,0.0
198703,55.2,-0.4
198704,59.5,2.1
198705,61.9,1.9
198706,62.7,0.1
198707,63.4,-0.5
198708,65.4,0.4
198709,64.3,-1.0
198710,64.2,1.5
198711,57.3,0.8
198712,50.8,-0.8
198801,50.9,-0.5
198802,54.9,1.3
198803,56.8,1.2
198804,58.4,1.0
198805,59.8,-0.2
198806,62.8,0.2
198807,65.1,1.2
198808,65.2,0.2
198809,63.4,-1.9
