San Diego, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
193907,0.00,-0.08
193908,0.00,-0.01
193909,3.15,3.03
193910,0.62,0.12
193911,1.13,0.34
193912,0.54,-1.13
194001,2.15,0.17
194002,3.56,1.36
194003,0.82,-0.64
194004,0.46,-0.19
194005,0.00,-0.28
194006,0.00,-0.05
194007,0.00,-0.08
194008,0.00,-0.01
194009,0.08,-0.04
194010,1.50,1.00
194011,0.49,-0.30
194012,6.09,4.42
194101,2.03,0.05
194102,5.32,3.12
194103,5.89,4.43
194104,3.35,2.70
194105,0.00,-0.28
194106,0.00,-0.05
194107,0.06,-0.02
194108,0.03,0.02
194109,0.28,0.16
194110,2.90,2.40
194111,2.23,1.44
194112,2.85,1.18
194201,0.21,-1.77
194202,1.07,-1.13
194203,1.91,0.45
194204,1.40,0.75
194205,0.11,-0.17
194206,0.01,-0.04
194207,0.00,-0.08
194208,0.00,-0.01
194209,0.00,-0.12
194210,0.27,-0.23
194211,0.27,-0.52
194212,0.69,-0.98
194301,6.26,4.28
194302,1.40,-0.80
194303,1.66,0.20
194304,0.52,-0.13
194305,0.02,-0.26
194306,0.01,-0.04
194307,0.00,-0.08
194308,0.00,-0.01
194309,0.04,-0.08
194310,0.20,-0.30
194311,0.03,-0.76
194312,7.60,5.93
194401,1.22,-0.76
194402,3.65,1.45
194403,0.80,-0.66
194404,0.61,-0.04
194405,0.22,-0.06
194406,0.10,0.05
194407,0.00,-0.08
194408,0.00,-0.01
194409,0.00,-0.12
194410,0.00,-0.50
194411,4.93,4.14
194412,1.53,-0.14
194501,0.42,-1.56
194502,1.91,-0.29
194503,2.03,0.57
194504,0.03,-0.62
194505,0.04,-0.24
194506,0.15,0.10
194507,0.00,-0.08
194508,0.87,0.86
194509,0.03,-0.09
194510,0.00,-0.50
194511,0.13,-0.66
194512,3.62,1.95
194601,0.89,-1.09
194602,0.60,-1.60
194603,2.67,1.21
194604,0.52,-0.13
194605,0.01,-0.27
194606,0.00,-0.05
194607,0.00,-0.08
194608,0.00,-0.01
194609,0.00,-0.12
194610,0.35,-0.15
194611,2.54,1.75
194612,1.18,-0.49
194701,0.35,-1.63
194702,0.43,-1.77
194703,0.98,-0.48
194704,0.36,-0.29
194705,0.17,-0.11
194706,0.00,-0.05
194707,0.00,-0.08
194708,0.00,-0.01
194709,0.18,0.06
194710,0.08,-0.42
194711,0.72,-0.07
194712,3.02,1.35
194801,0.00,-1.98
194802,1.07,-1.13
194803,1.60,0.14
194804,0.13,-0.52
194805,0.01,-0.27
194806,0.02,-0.03
194807,0.00,-0.08
194808,0.00,-0.01
194809,0.00,-0.12
194810,1.32,0.82
194811,0.11,-0.68
194812,2.38,0.71
194901,3.57,1.59
194902,1.81,-0.39
194903,0.75,-0.71
194904,0.09,-0.56
194905,0.41,0.13
194906,0.00,-0.05
194907,0.00,-0.08
194908,0.00,-0.01
194909,0.00,-0.12
194910,0.23,-0.27
194911,1.16,0.37
194912,0.86,-0.81
195001,3.32,1.34
195002,1.63,-0.57
195003,1.01,-0.45
195004,0.28,-0.37
195005,0.09,-0.19
195006,0.00,-0.05
195007,0.08,0.00
195008,0.00,-0.01
195009,0.00,-0.12
195010,0.01,-0.49
195011,1.23,0.44
195012,0.05,-1.62
195101,1.59,-0.39
195102,0.50,-1.70
195103,0.50,-0.96
195104,1.94,1.29
195105,0.00,-0.28
195106,0.00,-0.05
195107,0.00,-0.08
195108,0.85,0.84
195109,0.04,-0.08
195110,0.69,0.19
195111,1.24,0.45
195112,3.87,2.20
