San Diego, California, Average Temperature
Units: Degrees Fahrenheit
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
193907,67.2,-3.4
193908,68.9,-3.3
193909,70.5,-0.9
193910,64.7,-3.2
193911,60.3,-2.1
193912,57.2,-0.3
194001,56.0,-2.1
194002,55.4,-3.3
194003,57.9,-2.5
194004,60.7,-1.8
194005,63.5,-0.8
194006,63.1,-3.9
194007,66.0,-4.6
194008,66.7,-5.5
194009,65.3,-6.1
194010,63.8,-4.1
194011,58.2,-4.2
194012,58.3,0.8
194101,54.6,-3.5
194102,57.3,-1.4
194103,59.2,-1.2
194104,58.1,-4.4
194105,64.4,0.1
194106,63.6,-3.4
194107,66.6,-4.0
194108,68.0,-4.2
194109,65.2,-6.2
194110,62.7,-5.2
194111,60.6,-1.8
194112,54.7,-2.8
194201,54.9,-3.2
194202,52.8,-5.9
194203,55.1,-5.3
194204,57.4,-5.1
194205,60.5,-3.8
194206,62.1,-4.9
194207,66.8,-3.8
194208,67.3,-4.9
194209,64.9,-6.5
194210,63.1,-4.8
194211,58.2,-4.2
194212,54.6,-2.9
194301,54.1,-4.0
194302,56.9,-1.8
194303,57.2,-3.2
194304,58.2,-4.3
194305,62.2,-2.1
194306,62.3,-4.7
194307,66.3,-4.3
194308,68.4,-3.8
194309,65.9,-5.5
194310,62.9,-5.0
194311,58.9,-3.5
194312,55.0,-2.5
194401,53.5,-4.6
194402,51.8,-6.9
194403,55.9,-4.5
194404,56.7,-5.8
194405,60.0,-4.3
194406,61.3,-5.7
194407,63.9,-6.7
194408,66.5,-5.7
194409,64.1,-7.3
194410,61.8,-6.1
194411,57.0,-5.4
194412,55.4,-2.1
194501,52.5,-5.6
194502,54.0,-4.7
194503,53.0,-7.4
194504,55.5,-7.0
194505,59.8,-4.5
194506,62.2,-4.8
194507,66.2,-4.4
194508,69.1,-3.1
194509,68.6,-2.8
194510,64.5,-3.4
194511,57.2,-5.2
194512,54.4,-3.1
194601,53.3,-4.8
194602,51.6,-7.1
194603,54.3,-6.1
194604,59.6,-2.9
194605,60.9,-3.4
194606,65.2,-1.8
194607,68.0,-2.6
194608,69.5,-2.7
194609,68.3,-3.1
194610,61.3,-6.6
194611,55.4,-7.0
194612,54.3,-3.2
194701,50.7,-7.4
194702,55.7,-3.0
194703,58.0,-2.4
194704,60.2,-2.3
194705,61.1,-3.2
194706,63.9,-3.1
194707,66.6,-4.0
194708,68.1,-4.1
194709,68.3,-3.1
194710,63.7,-4.2
194711,55.5,-6.9
194712,53.0,-4.5
194801,52.9,-5.2
194802,51.3,-7.4
194803,53.1,-7.3
194804,58.4,-4.1
194805,59.6,-4.7
194806,61.8,-5.2
194807,64.2,-6.4
194808,65.5,-6.7
194809,65.5,-5.9
194810,61.3,-6.6
194811,57.2,-5.2
194812,50.8,-6.7
194901,45.0,-13.1
194902,49.9,-8.8
194903,53.4,-7.0
194904,58.5,-4.0
194905,60.2,-4.1
194906,64.4,-2.6
194907,66.5,-4.1
194908,67.4,-4.8
194909,67.2,-4.2
194910,61.5,-6.4
194911,61.8,-0.6
194912,52.1,-5.4
195001,49.2,-8.9
195002,52.8,-5.9
195003,55.4,-5.0
195004,57.8,-4.7
195005,58.3,-6.0
195006,61.3,-5.7
195007,66.8,-3.8
195008,65.4,-6.8
195009,64.6,-6.8
195010,63.9,-4.0
195011,59.6,-2.8
195012,56.9,-0.6
195101,52.8,-5.3
195102,52.8,-5.9
195103,55.9,-4.5
195104,57.9,-4.6
195105,59.3,-5.0
195106,62.9,-4.1
195107,66.5,-4.1
195108,66.1,-6.1
195109,64.9,-6.5
195110,63.9,-4.0
195111,58.7,-3.7
195112,52.6,-4.9
195201,51.5,-6.6
195202,55.0,-3.7
195203,53.1,-7.3
195204,56.9,-5.6
195205,61.2,-3.1
195206,61.1,-5.9
195207,65.4,-5.2
195208,67.4,-4.8
195209,67.6,-3.8
195210,62.3,-5.6
195211,56.8,-5.6
195212,53.6,-3.9
195301,57.1,-1.0
195302,54.2,-4.5
195303,54.8,-5.6
195304,56.1,-6.4
195305,60.0,-4.3
195306,61.9,-5.1
195307,67.9,-2.7
195308,67.1,-5.1
195309,65.3,-6.1
195310,64.6,-3.3
195311,60.3,-2.1
195312,54.8,-2.7
195401,52.2,-5.9
195402,58.4,-0.3
195403,54.4,-6.0
195404,58.1,-4.4
195405,60.1,-4.2
195406,62.2,-4.8
195407,69.0,-1.6
195408,68.2,-4.0
195409,66.5,-4.9
195410,61.3,-6.6
195411,60.9,-1.5
195412,55.3,-2.2
195501,51.1,-7.0
195502,52.6,-6.1
195503,56.8,-3.6
195504,56.8,-5.7
195505,58.9,-5.4
195506,61.9,-5.1
195507,65.4,-5.2
195508,69.6,-2.6
195509,68.6,-2.8
195510,60.4,-7.5
195511,57.2,-5.2
195512,54.3,-3.2
195601,52.6,-5.5
195602,50.7,-8.0
195603,55.3,-5.1
195604,55.9,-6.6
195605,61.6,-2.7
195606,63.5,-3.5
195607,66.5,-4.1
195608,66.9,-5.3
195609,69.2,-2.2
195610,62.9,-5.0
195611,61.4,-1.0
195612,57.0,-0.5
195701,53.6,-4.5
195702,57.3,-1.4
195703,56.8,-3.6
195704,57.9,-4.6
195705,60.4,-3.9
195706,65.4,-1.6
195707,68.5,-2.1
195708,70.4,-1.8
195709,67.2,-4.2
195710,62.8,-5.1
195711,57.9,-4.5
195712,58.6,1.1
195801,56.6,-1.5
195802,57.7,-1.0
195803,54.8,-5.6
195804,60.9,-1.6
195805,63.0,-1.3
195806,65.1,-1.9
195807,67.2,-3.4
195808,70.2,-2.0
195809,69.9,-1.5
195810,68.1,0.2
195811,59.1,-3.3
195812,59.1,1.6
195901,56.9,-1.2
195902,54.2,-4.5
195903,60.4,0.0
195904,61.8,-0.7
195905,61.5,-2.8
195906,65.4,-1.6
195907,70.8,0.2
195908,70.7,-1.5
195909,68.7,-2.7
195910,64.4,-3.5
195911,62.5,0.1
195912,57.3,-0.2
196001,52.0,-6.1
196002,54.0,-4.7
196003,57.5,-2.9
196004,60.3,-2.2
196005,62.3,-2.0
196006,63.9,-3.1
196007,68.6,-2.0
196008,68.7,-3.5
196009,69.7,-1.7
196010,63.4,-4.5
196011,57.9,-4.5
196012,53.8,-3.7
196101,58.2,0.1
196102,56.5,-2.2
196103,56.4,-4.0
196104,59.4,-3.1
196105,59.0,-5.3
196106,62.2,-4.8
196107,67.5,-3.1
196108,70.0,-2.2
196109,67.0,-4.4
196110,64.2,-3.7
196111,57.8,-4.6
196112,53.6,-3.9
196201,54.2,-3.9
196202,54.0,-4.7
196203,53.2,-7.2
196204,59.2,-3.3
196205,60.0,-4.3
196206,61.4,-5.6
196207,65.7,-4.9
196208,68.0,-4.2
196209,65.9,-5.5
196210,62.1,-5.8
196211,57.3,-5.1
196212,53.9,-3.6
196301,52.5,-5.6
196302,58.7,0.0
196303,54.9,-5.5
196304,56.2,-6.3
196305,61.1,-3.2
196306,62.2,-4.8
196307,65.7,-4.9
196308,69.5,-2.7
196309,71.8,0.4
196310,65.6,-2.3
196311,58.6,-3.8
196312,56.0,-1.5
196401,52.7,-5.4
196402,54.2,-4.5
196403,55.2,-5.2
196404,57.7,-4.8
196405,58.4,-5.9
196406,61.4,-5.6
196407,66.7,-3.9
196408,68.1,-4.1
196409,65.2,-6.2
196410,66.1,-1.8
196411,56.6,-5.8
196412,53.1,-4.4
196501,53.4,-4.7
196502,53.4,-5.3
196503,56.0,-4.4
196504,58.2,-4.3
196505,59.9,-4.4
196506,61.2,-5.8
196507,65.2,-5.4
196508,69.5,-2.7
196509,66.0,-5.4
196510,66.9,-1.0
196511,58.8,-3.6
196512,53.0,-4.5
196601,51.8,-6.3
196602,52.5,-6.2
196603,56.0,-4.4
196604,59.2,-3.3
196605,61.4,-2.9
196606,64.4,-2.6
196607,67.1,-3.5
196608,70.5,-1.7
196609,67.8,-3.6
196610,65.5,-2.4
196611,59.8,-2.6
196612,55.1,-2.4
196701,53.0,-5.1
196702,55.7,-3.0
196703,56.9,-3.5
196704,54.5,-8.0
196705,61.4,-2.9
196706,61.5,-5.5
196707,68.3,-2.3
196708,71.0,-1.2
196709,69.9,-1.5
196710,66.0,-1.9
196711,62.0,-0.4
196712,53.4,-4.1
196801,55.1,-3.0
196802,58.6,-0.1
196803,58.3,-2.1
196804,58.9,-3.6
196805,60.5,-3.8
196806,63.1,-3.9
196807,68.4,-2.2
196808,68.9,-3.3
196809,69.3,-2.1
196810,63.7,-4.2
196811,59.3,-3.1
196812,52.2,-5.3
196901,56.5,-1.6
196902,53.9,-4.8
196903,55.2,-5.2
196904,59.8,-2.7
196905,61.3,-3.0
196906,63.3,-3.7
196907,67.7,-2.9
196908,70.9,-1.3
196909,67.8,-3.6
196910,63.3,-4.6
196911,61.4,-1.0
196912,56.4,-1.1
197001,54.3,-3.8
197002,57.0,-1.7
197003,57.7,-2.7
197004,57.4,-5.1
197005,60.9,-3.4
197006,62.9,-4.1
197007,67.6,-3.0
197008,70.1,-2.1
197009,67.0,-4.4
197010,63.6,-4.3
197011,58.7,-3.7
197012,52.7,-4.8
197101,51.6,-6.5
197102,52.7,-6.0
197103,55.1,-5.3
197104,58.0,-4.5
197105,58.7,-5.6
197106,62.2,-4.8
197107,66.6,-4.0
197108,72.7,0.5
197109,69.5,-1.9
197110,63.0,-4.9
197111,56.8,-5.6
197112,51.5,-6.0
197201,52.2,-5.9
197202,55.1,-3.6
197203,57.5,-2.9
197204,59.6,-2.9
197205,62.0,-2.3
197206,64.3,-2.7
197207,70.0,-0.6
197208,69.5,-2.7
197209,66.0,-5.4
197210,62.9,-5.0
197211,57.1,-5.3
197212,54.8,-2.7
197301,52.9,-5.2
197302,57.2,-1.5
197303,55.4,-5.0
197304,58.8,-3.7
197305,60.7,-3.6
197306,65.3,-1.7
197307,66.4,-4.2
197308,67.7,-4.5
197309,66.2,-5.2
197310,64.1,-3.8
197311,57.9,-4.5
197312,55.5,-2.0
197401,54.2,-3.9
197402,55.5,-3.2
197403,56.4,-4.0
197404,59.3,-3.2
197405,60.6,-3.7
197406,64.3,-2.7
197407,68.7,-1.9
197408,67.5,-4.7
197409,67.6,-3.8
197410,64.0,-3.9
197411,59.5,-2.9
197412,53.6,-3.9
197501,53.4,-4.7
197502,53.7,-5.0
197503,54.8,-5.6
197504,56.0,-6.5
197505,59.4,-4.9
197506,62.3,-4.7
197507,66.6,-4.0
197508,66.2,-6.0
197509,68.8,-2.6
197510,63.2,-4.7
197511,57.7,-4.7
197512,54.2,-3.3
197601,56.2,-1.9
197602,56.9,-1.8
197603,57.6,-2.8
197604,58.3,-4.2
197605,62.5,-1.8
197606,67.0,0.0
197607,68.4,-2.2
197608,69.7,-2.5
197609,71.1,-0.3
197610,68.4,0.5
197611,64.1,1.7
197612,57.9,0.4
197701,57.6,-0.5
197702,59.0,0.3
197703,54.8,-5.6
197704,58.7,-3.8
197705,59.2,-5.1
197706,63.1,-3.9
197707,68.9,-1.7
197708,70.4,-1.8
197709,69.5,-1.9
197710,66.2,-1.7
197711,62.2,-0.2
197712,60.5,3.0
197801,58.3,0.2
197802,58.2,-0.5
197803,61.6,1.2
197804,60.7,-1.8
197805,65.5,1.2
197806,68.6,1.6
197807,68.9,-1.7
197808,70.2,-2.0
197809,71.2,-0.2
197810,67.4,-0.5
197811,58.9,-3.5
197812,52.6,-4.9
197901,54.1,-4.0
197902,54.2,-4.5
197903,57.5,-2.9
197904,60.7,-1.8
197905,62.8,-1.5
197906,67.6,0.6
197907,69.1,-1.5
197908,71.2,-1.0
197909,73.6,2.2
197910,66.0,-1.9
197911,59.7,-2.7
197912,57.9,0.4
198001,58.4,0.3
198002,60.8,2.1
198003,58.8,-1.6
198004,61.2,-1.3
198005,61.1,-3.2
198006,65.8,-1.2
198007,70.2,-0.4
198008,71.5,-0.7
198009,67.7,-3.7
198010,64.6,-3.3
198011,59.9,-2.5
198012,58.1,0.6
198101,58.6,0.5
198102,59.5,0.8
198103,58.4,-2.0
198104,61.7,-0.8
198105,64.6,0.3
198106,70.2,3.2
198107,72.9,2.3
198108,73.2,1.0
198109,70.9,-0.5
198110,64.4,-3.5
198111,60.8,-1.6
198112,57.6,0.1
198201,53.9,-4.2
198202,58.0,-0.7
198203,57.8,-2.6
