San Francisco, California, Precipitation
Units: Inches
Base Period: 1991-2020
Missing: -99
Date,Value,Anomaly
194507,0.01,0.01
194508,0.00,-0.04
194509,0.03,-0.04
194510,2.04,1.25
194511,2.38,0.34
194512,6.61,2.47
194601,0.92,-2.97
194602,1.64,-2.32
194603,1.94,-0.79
194604,0.15,-1.21
194605,0.22,-0.26
194606,0.00,-0.14
194607,0.15,0.15
194608,-99.00,-99.04
194609,0.01,-0.06
194610,-99.00,-99.79
194611,2.00,-0.04
194612,1.67,-2.47
194701,0.73,-3.16
194702,-99.00,-102.96
194703,2.98,0.25
194704,0.13,-1.23
194705,0.26,-0.22
194706,0.48,0.34
194707,0.00,0.00
194708,0.00,-0.04
194709,0.00,-0.07
194710,-99.00,-99.79
194711,0.94,-1.10
194712,1.67,-2.47
194801,0.31,-3.58
194802,1.59,-2.37
194803,2.62,-0.11
194804,2.78,1.42
194805,0.35,-0.13
194806,0.05,-0.09
194807,0.00,0.00
194808,0.00,-0.04
194809,0.05,-0.02
194810,0.31,-0.48
194811,0.27,-1.77
194812,4.07,-0.07
194901,1.24,-2.65
194902,2.65,-1.31
194903,4.30,1.57
194904,0.00,-1.36
194905,0.46,-0.02
194906,0.00,-0.14
194907,0.02,0.02
194908,0.08,0.04
194909,0.02,-0.05
194910,0.06,-0.73
194911,1.52,-0.52
194912,2.35,-1.79
195001,6.28,2.39
195002,2.61,-1.35
195003,1.64,-1.09
195004,0.98,-0.38
195005,0.20,-0.28
195006,0.07,-0.07
195007,0.00,0.00
195008,0.00,-0.04
195009,0.11,0.04
195010,1.98,1.19
195011,2.90,0.86
195012,4.78,0.64
195101,2.99,-0.90
195102,1.81,-2.15
195103,1.31,-1.42
195104,0.66,-0.70
195105,0.45,-0.03
195106,0.01,-0.13
195107,0.00,0.00
195108,0.09,0.05
195109,0.00,-0.07
195110,0.64,-0.15
195111,2.57,0.53
195112,7.06,2.92
195201,8.96,5.07
195202,1.57,-2.39
195203,4.62,1.89
195204,0.48,-0.88
195205,0.24,-0.24
195206,0.19,0.05
195207,0.00,0.00
195208,0.00,-0.04
195209,0.00,-0.07
195210,0.08,-0.71
195211,2.00,-0.04
195212,9.35,5.21
195301,3.03,-0.86
195302,0.00,-3.96
195303,1.34,-1.39
195304,1.67,0.31
195305,0.22,-0.26
195306,0.34,0.20
195307,0.00,0.00
195308,0.03,-0.01
195309,0.00,-0.07
195310,0.24,-0.55
195311,1.93,-0.11
195312,0.41,-3.73
195401,3.08,-0.81
195402,2.37,-1.59
195403,4.37,1.64
195404,1.04,-0.32
195405,0.07,-0.41
195406,0.15,0.01
195407,0.01,0.01
195408,0.01,-0.03
195409,0.00,-0.07
195410,0.04,-0.75
195411,1.98,-0.06
195412,4.24,0.10
195501,3.64,-0.25
195502,1.51,-2.45
195503,0.20,-2.53
195504,1.54,0.18
195505,0.09,-0.39
195506,0.00,-0.14
195507,0.01,0.01
195508,0.00,-0.04
195509,0.00,-0.07
195510,0.01,-0.78
195511,2.06,0.02
195512,12.30,8.16
195601,8.78,4.89
195602,3.12,-0.84
195603,0.15,-2.58
195604,1.15,-0.21
195605,0.49,0.01
195606,0.00,-0.14
195607,0.00,0.00
195608,0.00,-0.04
195609,0.26,0.19
195610,1.16,0.37
195611,0.01,-2.03
195612,0.48,-3.66
195701,3.35,-0.54
195702,3.86,-0.10
195703,2.06,-0.67
195704,1.58,0.22
195705,3.80,3.32
195706,0.01,-0.13
195707,0.00,0.00
195708,0.00,-0.04
195709,1.06,0.99
195710,2.87,2.08
195711,1.19,-0.85
195712,4.18,0.04
