County,1940,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Alameda,513011,708400,717700,725100,743600,760300,781600,794100,823400,824900,846800,853100,870200,887000,912600,933900,956000,978200,1000300,1018000,1037500,1049900,1059600,1070500,1073000,1087700,1098500,1095000,1098900,1107900,1105600,1106800,1109700,1103900,1109500,1126000,1141400,1160500,1177200,1196000,1215200,1228800,1250600,1271000,1276100,1293363,1312023,1324224,1330821,1335230,1345787,1376952,1401090,1423529,1448768,1465564,1468468,1467187,1465540,1459882,1464839,1476401,1491781,1503827,,,,,,,,,,,1676458,1654938,1638979
Alpine,323,200,200,200,200,200,300,300,300,300,300,300,300,400,400,400,400,400,400,400,400,400,400,500,500,600,600,700,700,800,800,900,1000,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1100,1094,1121,1131,1132,1119,1171,1214,1237,1192,1171,1203,1237,1248,1249,1266,1208,1255,1248,1208,1180,1177.0,1181.0,1186.0,1193.0,1199.0,1201.0,1207.0,1211.0,1208.0,1205.0,1201,1181,1175
Amador,8973,9600,10800,9200,9200,9300,9300,9200,9100,9000,9000,9100,9400,9700,10000,10200,10500,10700,11100,10900,11000,11100,11200,11500,11900,12800,12900,13900,15000,15200,15300,16300,17500,18700,19500,20100,20400,20800,21400,22200,22800,24000,26400,28300,30462,31641,32176,32897,33192,33395,33812,34487,34098,34769,35205,35784,36535,36776,37147,37722,37964,38085,37864,37905,37714.0,37122.0,36903.0,36561.0,36930.0,36905.0,37929.0,38549.0,40038.0,40279.0,40446,40222,40052
Butte,42840,56700,59900,63300,64800,65000,65900,66400,68800,71100,74200,77200,79400,80900,83200,87000,90900,93700,95800,97300,99900,101300,100200,100000,102500,106000,110400,113800,118100,120700,125000,130200,134500,138500,144900,148800,152500,154900,157600,161600,164400,168100,173400,176900,183229,187561,190704,192812,195327,197464,197753,199630,200393,201632,203446,205730,208154,210623,212212,213698,215684,217115,218485,219287,220619.0,222149.0,224316.0,225544.0,227830.0,229359.0,230681.0,233080.0,234627.0,226714.0,210426,206694,206932
Calaveras,8221,9100,9400,9800,9900,9800,9800,9800,9800,9900,10000,9900,10100,10100,10400,10600,10900,11400,11600,11800,12200,12700,13100,13300,13700,13800,14300,14800,15400,15500,16000,17000,18600,19900,20900,21700,22800,23500,24200,25000,26100,27600,28800,30600,32466,34507,35932,36735,37607,38352,38608,39925,39677,40288,40658,41428,42119,43186,43924,44773,45316,45638,45702,45562,45565.0,45519.0,45512.0,45429.0,45423.0,45414.0,45365.0,45354.0,45365.0,45285.0,45277,45013,44833
Colusa,9788,10300,10500,11000,11600,11500,11600,11400,11400,11500,11700,12000,12100,12000,12200,12200,12300,12600,12300,12200,12100,12300,12200,12400,12400,12300,12300,12300,12600,12800,13000,12900,12900,13100,12900,13200,13800,14000,14000,14600,14800,14800,15300,15900,16300,16694,16983,17319,17556,17833,18148,18461,18457,18594,18880,19068,19391,19685,20184,20565,20893,21119,21172,21270,21322.0,21356.0,21406.0,21464.0,21414.0,21455.0,21677.0,21792.0,21690.0,21745.0,21777,21867,21923
Contra Costa,100450,278900,283100,293000,302700,315700,340300,351600,335900,337900,348500,365300,380200,395500,413200,425200,439400,457700,473200,491900,510500,529200,538800,549600,557500,567700,572100,576200,579600,586600,602100,618200,632100,644700,658500,667200,678500,689700,698000,710900,725800,740800,760800,785000,806315,823658,840825,856384,865554,872804,883351,901948,919754,937226,953675,970496,978795,989705,998201,1004230,1010104,1021251,1033292,1043501,1053028.0,1068330.0,1082513.0,1098192.0,1112733.0,1128317.0,1141566.0,1149457.0,1158017.0,1162287.0,1165556,1160418,1149586
Del Norte,4745,7100,7400,7900,8400,9700,11000,12200,13300,14400,15300,17600,17900,18600,17800,17400,16900,16600,16600,16100,15700,15200,14700,14500,14600,15100,15300,15500,16000,16200,16300,16800,17600,17700,18300,18900,18700,18900,18800,19100,19500,20000,20900,20400,24426,26567,27264,27591,27824,27862,27783,28648,27963,27513,27447,27418,27615,27871,28187,28315,28276,28480,28571,28559,28421.0,28261.0,28038.0,27589.0,27260.0,27113.0,27070.0,26898.0,27572.0,27604.0,27638,27365,26604
El Dorado,13229,15600,15900,16000,16200,16500,16900,17400,18400,18800,19700,21500,23600,26600,29900,32100,34100,36000,38600,40700,42500,42100,42200,43000,44100,47200,49900,52700,56100,59400,62000,67600,74200,80900,86500,89300,92300,93300,95300,99100,102900,107600,114000,119700,127305,133089,136719,140871,142819,144910,146992,149758,151958,154507,158288,161880,164725,167670,170304,173181,175258,177195,178599,179701,181135.0,180832.0,180978.0,181963.0,181898.0,182205.0,182937.0,184800.0,187122.0,187905.0,191032,191309,189382
